Driver,Class,Team,Total Scored,Drop Adjusted
Dan Babic,Bronze,MIA Team #1,181,170
Zeff Cosemans,Bronze,Mighty Pink Panther Racing,142,142
Tiago Ranito,Bronze,AGT Drivers,104,104
Matevz Bas,Bronze,MiA Culpa,75,75
Zachary Hanke,Bronze,MAD Sim Racing Blue,67,67
Ryan G Williams,Bronze,TGC Racing,57,57
Rasmus Greiner,Bronze,GAS Racing,54,54
Nicholas Garforth,Bronze,STR Tech Steel,49,49
Jeff Sanders,Bronze,Driving Miss Daisy,48,48
Rudi Jetten,Bronze,Mighty Pink Panther Racing,44,44
Banik OP,Bronze,MIA Team #1,42,42
Patrick Nadarzinski,Bronze,Driving Miss Daisy 2,42,42
Esmeralda van der Naald,Bronze,eTeamBRIT,36,36
Daniel Slater,Bronze,Danielsito.dk,36,36
Sabit Vehabovic,Bronze,MIA Slowbros,30,30
Stephane Henriques,Bronze,Smurf Racing Team,28,28
Michael Johnson,Bronze,Driving Miss Daisy 2,27,27
Max Woyda,Bronze,Privateer,26,26
Ryan Burgess,Bronze,MIA Slowbros,25,25
Craig Brickwood,Bronze,MIA Team #4,24,24
Christian Mittelstädt,Bronze,Hyprix Racing,24,24
Mark Royce,Bronze,Ass Fault Motorsports,16,16
Petr Vecerek,Bronze,UK-DE Racing,16,16
Felipe Feitoza,Bronze,Core Motorsport,15,15
Hasan Kasirga,Bronze,MiA Culpa,14,14
Barry French,Bronze,UK-DE Racing,12,12
Jessie Jones,Bronze,Driving Miss Daisy 3,11,11
Max Schulz,Bronze,HyPrix Racing,10,10
Bruno Albino,Bronze,STR Tech Steel,8,8
Franck Courdier,Bronze,Hexago Motorsports Silver,6,6
Tobias Trub,Bronze,Privateer,4,4
Tom Vanduffel,Bronze,Driving Miss Daisy 3,4,4
Alan Murless,Bronze,STR Tech Blue,4,4
Linda Noble,Bronze,Driving Miss Daisy,3,3
Augustus Sablinskas,Bronze,Privateer,2,2
Patrick Bonani,Bronze,Hexago Motorsports Blue,2,2
Lucas Ahlberg,Bronze,MAD Sim Racing Blue,1,1
Tyler Katoe,Bronze,Privateer,0,0
Ernesto el Mariachi,Bronze,Hexago Motorsports Green,0,0
Sebastián Moltó,Bronze,IBN,0,0
David Denil,Bronze,Privateer,0,0
Joris Senhorst,Bronze,Privateer,0,0
Stuart P. Taylor,Bronze,TGC Racing,0,0
Steve Rubino,Bronze,Hobo Racing,0,0
Christopher Stewenson,Bronze,Hexago Motorsports Blue,-4,-4
Paul Alexander,Bronze,Privateer,-5,-5
Wing Chau,Bronze,Privateer,-10,-10
William Nezamis,Bronze,Onlyfools Gaming,-15,-15
