Driver,Class,Team,Total Scored,Drop Adjusted
Philipp Schwörke,Gold,TLR Paulaner,760,760
Mickaël Buchet,Gold,Hexago,662,662
Simon Ball,Gold,TLR Pathological Lagers,674,650
Rob S Taylor,Gold,STR Tech St Oswald's,655,583
Ruud Schoorl,Silver,STR Tech Ablestoke,506,472
Daniel Justou,Silver,Gentlemen-Racers.org,416,416
Dan Babic,Gold,Project 88,413,413
Kenneth Maanum,Silver,Uphill Racing,364,364
Stephen Kennedy,Gold,TGC Racing,363,363
Jorn Westeneng,Gold,MAD Sim Racing Yellow,353,353
Daniel Slater,Silver,Racoon Sim Racing,390,347
David Narbonne,Silver,Smurf Racing Team,344,344
Rasmus Greiner,Silver,Project 88,338,322
Paul Kerry,Gold,STR Tech St Oswald's,305,305
Yvonne Houffelaar,Bronze,United Sim Team - VOOM,323,302
Kari Fox,Bronze,PandaPink eSports,305,287
Mat Monestier,Gold,LSR Paul Ricard,280,280
Marc Mathis,Silver,Gentlemen-Racers.org,279,279
Cyril Blanco,Gold,LSR Paul Ricard,275,275
Pedro Lima,Gold,PandaPink eSports Fantasy,260,260
Alain Day,Silver,SimAbility Racing,254,254
Zachary Hanke,Bronze,MAD Sim Racing Yellow,254,254
Damon A Brierley,Silver,TLR Paulaner,248,248
Ryan G Walker,Gold,Privateer,247,247
Lia van Stevelen,Silver,PandaPink eSports,247,247
Jukka A Aho,Gold,goldFinGer,244,244
Stuart P Taylor,Bronze,TGC Racing,238,238
Axel Bijker,Gold,MAD Sim Racing Blue,230,230
Ola Särnkvist,Bronze,STR Tech Ablestoke,227,227
Patrick Vandenberg,Silver,United Sim Team,226,226
Sophie Aeronwen,Bronze,United Sim Team - VOOM,214,214
Peter Abraham Jonkers,Gold,TLR Skuumkoppe,197,197
Michael Aparício,Silver,Privateer,197,197
Jeff Sanders,Bronze,Racoon Sim Racing,193,193
Petr Vecerek,Bronze,goldFinGer,180,180
Matevz Bas,Gold,TLR Pathological Lagers,171,171
Ben Warren,Gold,Privateer,165,165
Christian Mittelstädt,Bronze,TLR Skuumkoppe,164,164
Justin Barrera,Gold,Privateer,162,162
Jörn Dobratz,Bronze,Privateer,158,158
Robert Stoten,Bronze,Project 88 Velocity,151,151
Max Schulz,Bronze,TLR Oettinger,141,141
Johan Buitenga,Silver,Privateer,132,132
Rudy Vermeule,Bronze,SimAbility Racing,116,116
Alan Murless,Bronze,STR Tech,111,111
Klaas Hartman,Bronze,Driving Ms Daisy,99,99
Jason Finch,Bronze,Privateer,88,88
Daniel Waghubinger,Bronze,Project 88 Velocity,77,77
Peter Cox,Gold,Privateer,75,75
Nathaniel Ivanusa,Gold,Privateer,70,70
Chris G Barnes,Bronze,Privateer (Former Triple P),66,66
Max Woyda,Silver,TLR Oettinger,62,62
Nigel Stock,Bronze,Privateer,58,58
Baptiste Seguy,Gold,Privateer,46,46
David Denil,Bronze,Privateer,44,44
James R Williams,Bronze,STR Tech,36,36
Rene Rotka,Bronze,Privateer,34,34
Simon Hartley,Bronze,Privateer,26,26
Laura Wiseman,Bronze,PandaPink eSports Fantasy,23,23
Franck Courdier,Silver,Privateer,15,15
William Nezamis,Bronze,MAD Sim Racing Blue,13,13
Steve Rubino,Bronze,Privateer,0,0
Patrik Hermansson,Bronze,Privateer,0,0
Kean van den Berg,Silver,Privateer,0,0
Doyle Rudolph,Bronze,Privateer,0,0
Lander van den Brande,Silver,Privateer,0,0
Mark Royce,Bronze,Privateer,0,0
Jeff Wills,Silver,Privateer,0,0
Iestyn Chiapelone,Silver,Privateer,0,0
Ernesto El Mariachi,Bronze,Hexago,0,0
Erik Wahlmark,Bronze,Privateer,0,0
Kevin Keene,Silver,Privateer,0,0
Tim De Hondt,Silver,Privateer,0,0
Craig Brickwood,Bronze,Privateer,0,0
Alejandro Torrealba,Silver,Privateer,0,0
Byron DeBelleau,Bronze,Privateer,0,0
Jean Alezi,Bronze,Privateer,0,0
Linda Noble,Bronze,Driving Ms Daisy,-2,-2
Stephane Henriques,Silver,Smurf Racing Team,-16,-16
Jørgen Grøndal,Gold,Uphill Racing,-20,-20
David Buitelaar,Gold,Privateer,-20,-20
Esmeralda van der Naald,Silver,United Sim Team,-21,-21
