Driver,Class,Team,Total Scored,Drop Adjusted
David Narbonne,Silver,Smurf Racing Team,85,85
Daniel Slater,Silver,Racoon Sim Racing,78,78
Jorge Reyes,Silver,W2W Racing Blue,75,75
Paul Kerry,Silver,PandaPink Fury,75,75
Patrick Vandenberg,Silver,United Sim Team Red,72,72
Yvonne Houffelaar,Silver,United Sim Team - VOOM,63,63
Daniel Justou,Silver,Gentlemen-Racers.org,62,62
Benjamin Sanderson,Silver,W2W Racing Blue,48,48
Darren Sharples,Silver,UKSimRacing,48,48
Kenneth Maanum,Silver,Uphill Racing,42,42
Michael Aparicio,Silver,Privateer,41,41
Alain Day,Silver,SimAbility Racing Team A,38,38
Lia van Stevelen,Silver,PandaPink Strike Eagles,38,38
Robbert van Hoorn,Silver,Privateer,37,37
Rebwar Fadhil,Silver,Privateer,31,31
Marc Mathis,Silver,Gentlemen-Racers.org,30,30
Damon A Brierley,Silver,TLR Tailgunners,19,19
Max Woyda,Silver,TLR Meatball,19,19
Franck Courdier,Silver,Live-SimRacing Blue,14,14
Johan Buitenga,Silver,Privateer,6,6
Rasmus Greiner,Silver,Project 88 Velocity,0,0
Stephane Henriques,Silver,Smurf Racing Team,0,0
Kamil Kubow,Silver,Privateer,0,0
James Charles,Silver,Privateer,0,0
Esmeralda van der Naald,Silver,Privateer,0,0
Aaron D'Mellow,Silver,Privateer,0,0
Juan Alberto Escobar,Silver,Privateer,0,0
