Driver,Class,Team,Total Scored,Drop Adjusted
Mat Monestier,Gold,Hexago Motorsports Green,684,655
Rob S Taylor,Gold,STR Tech St Oswalds,656,600
Mickaël Buchet,Gold,Hexago Motorsports Green,591,568
Axel Bijker,Silver,MAD Sim Racing,508,452
Alaphilippe Pierre-etienne,Silver,Hexago Motorsports Orange,445,445
Chris Morgan6,Gold,Sampsoid Blue Skies,445,445
Simon Ball2,Silver,S&D Racing,468,438
Paul Kerry,Silver,STR Tech St Oswalds,436,415
Jukka A Aho,Silver,Sampsoid Blue Skies,398,398
David Narbonne,Bronze,Smurf Racing Team,438,370
Cyril Blanco,Silver,Hexago Motorsports Orange,321,321
Dan Babic,Bronze,S&D Racing,307,307
Peter Abraham Jonkers,Silver,Team Racing Lions,320,292
Thierry Raffier,Bronze,Hexago Motorsports Silver,352,289
Niels Dukker,Silver,Sampsoid Blue,270,270
Ruud Schoorl,Silver,Team Racing Lions,268,268
Zeff Cosemans,Silver,Mighty Pink Panther Racing,264,264
Rudi Jetten,Bronze,Memorable Pink Panther Racing,279,257
Alberto Casado,Bronze,Wolves Racing,255,255
Ola Särnkvist,Bronze,STR Tech AbleStoke,262,242
André Fernandes,Silver,Portugal Iracing Team,218,218
Franck Courdier,Bronze,Hexago Motorsports Silver,233,210
Mohammad Alhussien,Gold,Allez Allez,205,205
Bruno Albino,Bronze,STR Tech Steel,239,198
Jeff Sanders,Bronze,Driving Miss Daisy,193,193
Roman Dubert,Silver,Wolves Racing,183,183
Mika Hakala,Bronze,STR Tech Steel,167,167
Zachary Hanke,Bronze,MAD Sim Racing,165,165
Daniel Ott,Silver,AFM,145,145
Damien Levange,Bronze,Hexago Motorsports Blue,131,131
Craig Brickwood,Bronze,CB Racing,126,126
Mark Royce,Bronze,AFM,124,124
Ernesto el Mariachi,Bronze,Hexago Motorsports Blue,119,119
Michael Fernando2,Gold,Masterful Pink Panther Racing,115,115
Tom Wilson3,Bronze,Sampsoid Blue,98,98
Linda Noble,Bronze,Driving Miss Daisy,97,97
Jon Payne,Silver,Only Fools Gaming,94,94
Carl Warwick,Bronze,Privateer,80,80
João Gomes5,Bronze,HBC Racing e-Team,78,78
Nicolas Ronceray,Silver,Hexago Motorsports Magenta,74,74
Grantas Kareckas,Gold,Privateer,65,65
Christopher Stewenson,Bronze,Hexago Motorsports #6,57,57
Lucas Ahlberg,Bronze,A License to Lose,57,57
Rasmus Greiner,Bronze,GAS Racing,53,53
Pablo Carracedo,Gold,Wolves Racing 2,48,48
Carlos Sanjuán,Bronze,KTD Competición,46,46
Jose A Dominguez,Gold,Wolves Racing 2,44,44
Petr  Vecerek,Bronze,Privateer,40,40
Alan Murless,Bronze,STR Tech AbleStoke,28,28
Tibald Bisanzio,Bronze,Privateer,26,26
William J Nezamis,Bronze,Masterful Pink Panther Racing,19,19
George Masters,Bronze,Memorable Pink Panther Racing,16,16
Kevin Rigs,Silver,Hexago Motorsports Magenta,9,9
David maggioni,Silver,Privateer,2,2
Sam Taylor,Silver,Mighty Pink Panther Racing,0,0
Christian Gritsko,Silver,Project 2,0,0
Max Woyda,Bronze,Privateer,0,0
Marcus Spry,Gold,A License to Lose,0,0
Simon Smart,Bronze,Only Fools Gaming,0,0
Vincent Vandamme,Bronze,Privateer,-10,-10
Alessandro Striani,Gold,Allez Allez,-40,-40
Mickael Velho,Bronze,Privateer,-60,-60
